Index,Product ID,Product Title,Raw Description,Brand,Category,Target Language
37,TZwE90h0ej,Scanner Drone,Scanner Drone by Madden Group is a eco-friendly; portable; waterproof; premium product for customers shopping in Women's Clothing.,"Friedman, Atkinson and Mcpherson",Women's Clothing,Dutch
38,e0ZHcH0xy2,Speaker Router Lamp,"Speaker Router Lamp by Brown, Hanson and Swanson is a compact; wireless product for customers shopping in Accessories (Bags, Hats, Belts).","Ortiz, Michael and Buchanan","Accessories (Bags, Hats, Belts)",German
39,kW2YtVaTMV,Wireless Charger Lamp Max Sense,Wireless Charger Lamp Max Sense by Mitchell Inc is a waterproof; premium; compact; rechargeable product for customers shopping in Fragrances.,Doyle LLC,Fragrances,Italian
40,LlGZyxwyFf,Compact Trimmer Stove,"Compact Trimmer Stove by Keith, Prince and Bradford is a lightweight; eco-friendly; compact; premium product for customers shopping in Haircare.",Sparks Group,Haircare,Italian
41,K2mnWGOuvx,Compact Lamp Speakerphone Headphones Automatic Eco Smart,Compact Lamp Speakerphone Headphones Automatic Eco Smart by Ponce-Carson is a premium; portable; compact; rechargeable product for customers shopping in Bedding & Bath.,Thornton-Cain,Bedding & Bath,Italian
42,BpmjyNIIHC,Wireless Tablet Microphone Trimmer,"Wireless Tablet Microphone Trimmer by Novak LLC is a lightweight; premium product for customers shopping in Accessories (Bags, Hats, Belts).","Ball, Reese and Harding","Accessories (Bags, Hats, Belts)",Portuguese
43,1QdH8KIUs9,Digital Fan Thermostat Ultra Prime Prime,Digital Fan Thermostat Ultra Prime Prime by Stevenson-Bradley is a premium; rechargeable product for customers shopping in Office Supplies.,Bender-Hill,Office Supplies,Spanish
44,pj7axFRYVh,Digital Dock Fast Smart,Digital Dock Fast Smart by Green-Holmes is a compact; wireless; eco-friendly; premium product for customers shopping in Men's Clothing.,"Villarreal, Hood and Stein",Men's Clothing,Portuguese
45,aeKLETDqLg,Eco Drone Printer,Eco Drone Printer by Waters-Odonnell is a eco-friendly; premium; portable; waterproof product for customers shopping in Furniture.,Frank PLC,Furniture,Spanish
46,P5hjqCTkFQ,Keyboard Kettle,Keyboard Kettle by Gallagher-Kramer is a waterproof; compact; wireless product for customers shopping in Headphones & Earbuds.,"Adams, Brewer and Nguyen",Headphones & Earbuds,Italian
47,0p24TjMpEs,Watch,Watch by Mayo Group is a portable; eco-friendly; compact product for customers shopping in Toys & Games.,Robbins-Cantrell,Toys & Games,French
48,6LeIeklvN1,Brush,Brush by Holden Ltd is a lightweight; eco-friendly product for customers shopping in Haircare.,"Owen, Hinton and Sullivan",Haircare,Italian
49,dzno9CSDbU,Fast Lamp Lamp Portable,Fast Lamp Lamp Portable by Sweeney-Chang is a rechargeable; portable; premium; waterproof product for customers shopping in Women's Clothing.,Rogers-Dawson,Women's Clothing,French
50,6SKsFUyoLb,Light Drone,Light Drone by Kidd Inc is a compact; premium; wireless product for customers shopping in Camping & Hiking.,Clark and Sons,Camping & Hiking,Portuguese
51,fudsAoRhr0,Portable Charger Radio Premium 360,Portable Charger Radio Premium 360 by Boone-Barrett is a compact; waterproof; portable; lightweight product for customers shopping in Camping & Hiking.,Baker-Elliott,Camping & Hiking,Portuguese
52,c72k5Fp4z8,Webcam Printer,"Webcam Printer by Sanchez, Franco and Price is a compact; premium; wireless; eco-friendly product for customers shopping in Clothing & Apparel.","Hobbs, Raymond and Tapia",Clothing & Apparel,German
53,0VwpuxLgPf,Printer Charger Brush,Printer Charger Brush by Garrett-Hahn is a eco-friendly; rechargeable; premium product for customers shopping in Beauty & Personal Care.,"Murphy, Santos and Abbott",Beauty & Personal Care,French
54,j2tx2cHYjw,Camera Router Fan,Camera Router Fan by Bryant and Sons is a lightweight; wireless; premium; rechargeable product for customers shopping in Bedding & Bath.,Banks-Pittman,Bedding & Bath,Portuguese
55,fkNw63lsGh,Clean Shaver,"Clean Shaver by Boyle, Bright and Bright is a waterproof; wireless; portable; premium product for customers shopping in Accessories (Bags, Hats, Belts).",Perez-Cruz,"Accessories (Bags, Hats, Belts)",German
56,3UuNsJdifX,Automatic Drone Speaker Speaker,"Automatic Drone Speaker Speaker by Yoder, Townsend and Swanson is a compact; lightweight; eco-friendly; premium product for customers shopping in Sports & Outdoors.",Fitzpatrick-Shaw,Sports & Outdoors,Spanish
57,7DAzSpOoiG,Portable Mouse Speaker Cooler Digital,Portable Mouse Speaker Cooler Digital by Farmer and Sons is a compact; rechargeable; premium; lightweight product for customers shopping in Team Sports.,Freeman Inc,Team Sports,French
58,aShR7nCPqO,Digital Scale Trimmer Grill Ultra,"Digital Scale Trimmer Grill Ultra by Lucero, Delacruz and Frank is a portable; rechargeable product for customers shopping in Books & Stationery.",Cervantes Ltd,Books & Stationery,French
59,pOImRfcMNL,Eco Fridge Freezer Smart,Eco Fridge Freezer Smart by Kent-Huffman is a waterproof; portable; premium product for customers shopping in Office Supplies.,Mora-Wiggins,Office Supplies,Portuguese
60,TDAMXIswmE,Scanner Monitor Treadmill,Scanner Monitor Treadmill by Hanna and Sons is a rechargeable; compact product for customers shopping in Automotive.,Cook-Nelson,Automotive,Portuguese
61,5AMgqUPKmj,Fast Lock Edge Smart,Fast Lock Edge Smart by Zhang and Sons is a eco-friendly; waterproof; portable; wireless product for customers shopping in Furniture.,Stuart Inc,Furniture,German
62,DfWqRNf9OB,Eco Brush Lock Air Silent Automatic,"Eco Brush Lock Air Silent Automatic by Valencia, York and Hampton is a portable; premium; wireless product for customers shopping in Grooming Tools.",Perez Ltd,Grooming Tools,Dutch
63,gh5IFaiitg,Smart Heater Rechargeable Fast Silent,Smart Heater Rechargeable Fast Silent by Welch LLC is a wireless; premium; portable product for customers shopping in Home Decor.,"Mathis, Frederick and Pitts",Home Decor,Spanish
64,FdPCxlGljK,Fan,"Fan by Hays, Villarreal and Daniel is a compact; premium product for customers shopping in Home & Kitchen.",Christensen LLC,Home & Kitchen,Italian
65,dV5Yoetbjq,Advanced Blender Silent Wireless,"Advanced Blender Silent Wireless by Galvan, Kidd and Hickman is a portable; wireless; eco-friendly product for customers shopping in Headphones & Earbuds.",Ramsey-Carey,Headphones & Earbuds,Portuguese
66,rz3Ux9Wf6w,Treadmill,"Treadmill by Daniels, Hurst and Barker is a wireless; compact product for customers shopping in Kids' Clothing.","Mcfarland, Heath and Mccarty",Kids' Clothing,German
67,F75eWw4TzG,Dock,Dock by Larson-Blackwell is a lightweight; waterproof; eco-friendly; premium product for customers shopping in Fishing & Hunting.,"Warner, Ayers and Downs",Fishing & Hunting,German
68,iKGTbsTPFj,Lamp Lamp Kettle,"Lamp Lamp Kettle by Velazquez, Hobbs and Cabrera is a wireless; eco-friendly; rechargeable product for customers shopping in Toys & Games.",Moody Inc,Toys & Games,Italian
69,oM9PS1Eg8h,Compact Iron Edge,Compact Iron Edge by Cabrera-Shields is a rechargeable; portable; premium product for customers shopping in Kids' Clothing.,Reyes Group,Kids' Clothing,Spanish
70,TiVEVM41RH,Keyboard Speaker,Keyboard Speaker by Sanders Group is a portable; lightweight product for customers shopping in Men's Clothing.,Foley PLC,Men's Clothing,Dutch
71,1QyAqskAFm,Premium Mixer Toaster Toaster,"Premium Mixer Toaster Toaster by Goodwin, Mcdonald and Herring is a portable; eco-friendly product for customers shopping in Books & Stationery.",Bauer-Bonilla,Books & Stationery,Spanish
72,MM0MXICRii,Microphone Cooler,Microphone Cooler by Hunter-Khan is a portable; rechargeable product for customers shopping in Home Decor.,Chase-Wallace,Home Decor,Italian
73,gebYULLhFq,Compact Tablet Portable Go,Compact Tablet Portable Go by Miller-Bradshaw is a compact; rechargeable product for customers shopping in Sports & Outdoors.,"Guerra, Wallace and Mendez",Sports & Outdoors,French
74,lPcAeHGWHQ,Rechargeable Cooler Printer Speaker,Rechargeable Cooler Printer Speaker by Jensen-Brady is a waterproof; portable; eco-friendly; compact product for customers shopping in Clothing & Apparel.,Hurley and Sons,Clothing & Apparel,Italian
75,veObBcx6g3,Ultra Clock Lock Silent Silent,Ultra Clock Lock Silent Silent by Faulkner LLC is a wireless; waterproof; portable product for customers shopping in Fitness Equipment.,Hurst-Hampton,Fitness Equipment,Spanish
76,VgawNBBkbD,Fan Iron Clock,Fan Iron Clock by Nash LLC is a compact; premium; waterproof product for customers shopping in Fishing & Hunting.,"Hunter, Mccormick and Preston",Fishing & Hunting,Italian
77,azJAUzTON8,Smart Scanner Keyboard Monitor Plus,Smart Scanner Keyboard Monitor Plus by Mayer Ltd is a wireless; compact; waterproof product for customers shopping in Kitchen Appliances.,"Burnett, Velasquez and Ramsey",Kitchen Appliances,French
78,QLRlR54IXJ,Advanced Tablet Plus,Advanced Tablet Plus by Cisneros-Nixon is a compact; portable; lightweight; waterproof product for customers shopping in Cycling.,Lutz-Reynolds,Cycling,German
79,fIdIfIbHEz,Silent Webcam Webcam Stove,Silent Webcam Webcam Stove by Stewart Inc is a compact; lightweight; rechargeable product for customers shopping in Cycling.,Perry LLC,Cycling,German
80,lpeNTLY24F,Premium Charger Lock Oven Plus Premium,Premium Charger Lock Oven Plus Premium by Haney and Sons is a portable; eco-friendly; lightweight; waterproof product for customers shopping in Toys & Games.,Bullock-Novak,Toys & Games,Italian
81,csArYl9api,Clean Mouse Heater Ultra,Clean Mouse Heater Ultra by Mays-Wells is a premium; wireless; compact product for customers shopping in Smartwatches.,Simpson Ltd,Smartwatches,Portuguese
82,q7XWP2RWnu,Pro Cooler Treadmill Automatic,Pro Cooler Treadmill Automatic by Compton-Rodgers is a eco-friendly; portable; lightweight product for customers shopping in Beauty & Personal Care.,"Carroll, Velez and Hays",Beauty & Personal Care,Italian
83,6cqEFtzCBt,Automatic Lock Charger,Automatic Lock Charger by Henderson-Gates is a compact; rechargeable; lightweight; premium product for customers shopping in Smartphones.,Good-Leblanc,Smartphones,German
84,zfFZroGC8u,Smart Thermostat Oven Sense,"Smart Thermostat Oven Sense by Simmons, Brooks and Powell is a wireless; portable; waterproof; lightweight product for customers shopping in Home & Kitchen.","Curtis, Cobb and Park",Home & Kitchen,Portuguese
85,BcWcn94Eks,Pro Shaver Thermostat Silent Clean,"Pro Shaver Thermostat Silent Clean by Valdez, Zavala and Zuniga is a premium; portable; compact product for customers shopping in Smartwatches.","Herrera, Booker and Wilkinson",Smartwatches,Portuguese
86,kdCCfoEJff,Speakerphone,Speakerphone by Douglas-Cantu is a wireless; eco-friendly; premium; portable product for customers shopping in Team Sports.,"Crosby, Contreras and Barker",Team Sports,Italian
87,leOLrju6QF,Fast Tablet Cooler Fridge,Fast Tablet Cooler Fridge by Cordova-Simpson is a lightweight; premium product for customers shopping in Women's Clothing.,Farley Inc,Women's Clothing,German
88,OugCHVmBI5,Pro Router,"Pro Router by Hicks, Owens and Clark is a portable; wireless; compact; premium product for customers shopping in Cycling.","Bell, Camacho and Lopez",Cycling,Spanish
89,tjEfbeSqmO,Portable Mouse Sense Edge,"Portable Mouse Sense Edge by Nichols, Mcmillan and Rollins is a waterproof; eco-friendly; rechargeable product for customers shopping in Bedding & Bath.","Meyer, Huang and Greene",Bedding & Bath,French
90,8j9WL7X9co,Mini Brush,"Mini Brush by Underwood, Conner and Santos is a rechargeable; lightweight; eco-friendly product for customers shopping in Smartwatches.",Wang PLC,Smartwatches,Dutch
91,r2jpwEDpqT,Digital Powerbank,Digital Powerbank by Ruiz-Hubbard is a portable; wireless; eco-friendly; rechargeable product for customers shopping in Cycling.,Allen-Juarez,Cycling,Spanish
92,snsIYDcyIx,Powerbank Cooker Iron,Powerbank Cooker Iron by Guzman-Santiago is a rechargeable; lightweight; premium; eco-friendly product for customers shopping in Makeup.,White-Donaldson,Makeup,Italian
93,iwIV242E9Q,Keyboard,Keyboard by Stein Inc is a premium; waterproof; wireless product for customers shopping in Smartphones.,Wilcox-Valentine,Smartphones,Portuguese
94,H4u58Qph4l,Silent Cooler Vacuum Fast Clean,Silent Cooler Vacuum Fast Clean by Holder-Ward is a lightweight; portable; eco-friendly product for customers shopping in Clothing & Apparel.,Maddox LLC,Clothing & Apparel,Italian
95,LbGv6QiX3u,Mixer Heater,Mixer Heater by Marquez Inc is a premium; rechargeable; portable product for customers shopping in Makeup.,Armstrong-Browning,Makeup,Spanish
96,HlMOBEX88a,Digital Watch Microphone Microphone,Digital Watch Microphone Microphone by Hunt-Koch is a waterproof; lightweight; eco-friendly product for customers shopping in Cleaning Supplies.,"Mcintyre, Hinton and Phillips",Cleaning Supplies,Dutch
97,HXU5OzmA6m,Automatic Clock Lock Portable,Automatic Clock Lock Portable by Humphrey LLC is a eco-friendly; wireless; lightweight product for customers shopping in Office Supplies.,Silva-Holloway,Office Supplies,Portuguese
98,6rxHSEY0DD,Wireless Tablet Automatic Prime Silent,"Wireless Tablet Automatic Prime Silent by Whitehead, Boyd and Bullock is a eco-friendly; compact; premium; wireless product for customers shopping in Home Decor.",Patel-Mcdowell,Home Decor,Portuguese
99,Y58L9DKiQa,Eco Projector One Air,"Eco Projector One Air by Dawson, Cantu and Powers is a lightweight; wireless product for customers shopping in Camping & Hiking.","Serrano, Cisneros and Boyd",Camping & Hiking,Dutch
100,yXy7CyXzHl,Compact Keyboard One Pro Max,"Compact Keyboard One Pro Max by Bates, Singh and Mccullough is a compact; eco-friendly; lightweight product for customers shopping in Health & Wellness.",Cameron Inc,Health & Wellness,Portuguese
101,1Kxrbf5xc4,Compact Camera Digital Plus Edge,Compact Camera Digital Plus Edge by Hebert-Ferguson is a lightweight; eco-friendly product for customers shopping in Bedding & Bath.,Leon-Richard,Bedding & Bath,German
102,y6nrBQay6B,Silent Drone Thermostat Headphones Ultra Max Go,"Silent Drone Thermostat Headphones Ultra Max Go by Villanueva, Gibbs and Booker is a waterproof; wireless; rechargeable; compact product for customers shopping in Kids' Clothing.","Schultz, Cantrell and Jimenez",Kids' Clothing,Spanish
103,YC9o8iGfRA,Silent Blender Treadmill Tablet Clean,"Silent Blender Treadmill Tablet Clean by Hardin, Good and Travis is a waterproof; portable; wireless; compact product for customers shopping in Headphones & Earbuds.",Huber-Moss,Headphones & Earbuds,French
104,risHkytqaG,Wireless Powerbank Iron Brush,Wireless Powerbank Iron Brush by Calderon-Lynn is a portable; eco-friendly; lightweight product for customers shopping in Men's Clothing.,Collins-Mata,Men's Clothing,Spanish
105,XhcDrjXYB9,Eco Headphones Advanced 360 Fast,"Eco Headphones Advanced 360 Fast by Howard, Schmitt and Perry is a wireless; premium; lightweight product for customers shopping in Kitchen Appliances.",Norman LLC,Kitchen Appliances,Dutch
106,jX9TEmRw48,Rechargeable Lamp Touch Edge Sense,Rechargeable Lamp Touch Edge Sense by Nash Inc is a compact; premium; eco-friendly product for customers shopping in Kids' Clothing.,Lopez-Osborne,Kids' Clothing,Spanish
107,UR6ibglLCR,Digital Thermostat Webcam Bicycle,Digital Thermostat Webcam Bicycle by Floyd Ltd is a waterproof; lightweight; wireless product for customers shopping in Health & Wellness.,Hahn Group,Health & Wellness,French
108,QetPpnxGDd,Premium Toaster Premium X Premium,Premium Toaster Premium X Premium by Arias Inc is a waterproof; eco-friendly product for customers shopping in Smartwatches.,"Cochran, Bray and Krueger",Smartwatches,Dutch
109,ulybUZVlXt,Advanced Monitor Brush Monitor One Portable Touch,Advanced Monitor Brush Monitor One Portable Touch by Cohen-Stevens is a portable; lightweight; rechargeable product for customers shopping in Cleaning Supplies.,Walls Inc,Cleaning Supplies,French
110,gLI7SPA5GN,Premium Watch Headphones Kettle Plus Silent,Premium Watch Headphones Kettle Plus Silent by Molina PLC is a eco-friendly; wireless; portable product for customers shopping in Beauty & Personal Care.,Trevino-Gallagher,Beauty & Personal Care,Spanish
111,EoJnVFfXR1,Smart Mouse Monitor Phone Air Touch,Smart Mouse Monitor Phone Air Touch by Franco-Ochoa is a eco-friendly; portable; lightweight; rechargeable product for customers shopping in Team Sports.,Marquez-Cabrera,Team Sports,Spanish
112,n85cI14Yrt,Silent Freezer Mixer Ultra Air Smart,"Silent Freezer Mixer Ultra Air Smart by Walker, Francis and Garcia is a portable; premium; compact product for customers shopping in Bedding & Bath.",Benson-Park,Bedding & Bath,Dutch
113,JorEdn6vmN,Compact Dock Mixer Router Fast Digital Compact,Compact Dock Mixer Router Fast Digital Compact by Lester-Bautista is a wireless; rechargeable; lightweight product for customers shopping in Camping & Hiking.,Stewart-Brandt,Camping & Hiking,Spanish
114,yDHdado6tL,Rechargeable Projector Brush,Rechargeable Projector Brush by Robinson and Sons is a lightweight; wireless; rechargeable; compact product for customers shopping in Fragrances.,Berry-Mcconnell,Fragrances,Portuguese
115,Z7foNytswf,Fast Speaker Powerbank Camera Lite,"Fast Speaker Powerbank Camera Lite by Horne, Lowery and Burke is a lightweight; compact; wireless product for customers shopping in Kids' Clothing.","Hays, Hood and Bush",Kids' Clothing,Italian
116,4ujAR8G7E5,Compact Speakerphone Oven Compact Pro,Compact Speakerphone Oven Compact Pro by Henson LLC is a compact; rechargeable product for customers shopping in Laptops & Computers.,Phelps PLC,Laptops & Computers,Spanish
117,2J6MCeqrii,Mini Mixer Eco X Digital,Mini Mixer Eco X Digital by Garrison PLC is a eco-friendly; portable product for customers shopping in Shoes & Footwear.,Phelps-Mooney,Shoes & Footwear,Dutch
118,XMLArcYZC7,Scooter Bicycle Oven,Scooter Bicycle Oven by Curry-Proctor is a waterproof; eco-friendly product for customers shopping in Automotive.,Case Inc,Automotive,Dutch
119,TN6E69CtjE,Mini Drone Lite,Mini Drone Lite by Nixon Group is a eco-friendly; premium product for customers shopping in Headphones & Earbuds.,Zavala LLC,Headphones & Earbuds,French
120,r64oKwH2dn,Smart Cooler Vacuum Mini Smart,"Smart Cooler Vacuum Mini Smart by Peterson, Holland and Valdez is a eco-friendly; wireless; lightweight; rechargeable product for customers shopping in Kids' Clothing.",Shaffer-Olsen,Kids' Clothing,German
121,0NuZE0CDqe,Compact Shaver Grill Mini,Compact Shaver Grill Mini by Johns Inc is a portable; rechargeable product for customers shopping in Men's Clothing.,Stevenson-Hanson,Men's Clothing,Spanish
122,zhFk4YEEuc,Digital Speakerphone Scanner Monitor,Digital Speakerphone Scanner Monitor by Kaiser and Sons is a rechargeable; compact product for customers shopping in Shoes & Footwear.,Archer and Sons,Shoes & Footwear,German
123,oEpTamLZri,Eco Watch,"Eco Watch by Fernandez, Vega and Heath is a waterproof; compact; portable; rechargeable product for customers shopping in Camping & Hiking.",Griffin Ltd,Camping & Hiking,Italian
124,bh7zniUf4x,Premium Scale Advanced,"Premium Scale Advanced by Mcknight, Suarez and Harrison is a compact; lightweight; waterproof product for customers shopping in Health & Wellness.",Kirk Ltd,Health & Wellness,French
125,jdAdfTaOZk,Eco Webcam Printer Rechargeable X,"Eco Webcam Printer Rechargeable X by Spencer, Cunningham and Gamble is a wireless; waterproof; rechargeable product for customers shopping in Smartphones.",Beltran LLC,Smartphones,German
126,W9HjTdmhFS,Rechargeable Fan Smart Go,Rechargeable Fan Smart Go by Sullivan PLC is a portable; lightweight; compact; premium product for customers shopping in Bedding & Bath.,Haley Group,Bedding & Bath,Italian
127,Sz4WCCgnkM,Automatic Mouse Speaker Cooler,"Automatic Mouse Speaker Cooler by Oneill, Woodward and Reyes is a waterproof; rechargeable; eco-friendly; lightweight product for customers shopping in Headphones & Earbuds.","Pittman, Schmitt and Bautista",Headphones & Earbuds,Dutch
128,VkkanIrQRI,Smart Speaker Powerbank Camera Compact One Prime,"Smart Speaker Powerbank Camera Compact One Prime by Key, Miller and Dominguez is a eco-friendly; premium product for customers shopping in Cycling.",Hunter-Hanson,Cycling,Dutch
129,Uo6GcAVXJP,Pro Dock Speaker Phone,Pro Dock Speaker Phone by Fitzgerald Ltd is a compact; premium product for customers shopping in Haircare.,Griffith Ltd,Haircare,German
130,2fjsESYyf7,Mini Charger Monitor Brush Touch Edge Ultra,Mini Charger Monitor Brush Touch Edge Ultra by Mcdaniel-Cherry is a wireless; premium product for customers shopping in Shoes & Footwear.,Drake and Sons,Shoes & Footwear,Portuguese
131,sWxaFPGaRa,Clean Stove Rechargeable Pro Compact,"Clean Stove Rechargeable Pro Compact by Richardson, Aguilar and Calderon is a eco-friendly; premium; rechargeable; portable product for customers shopping in Camping & Hiking.","Cruz, Oneill and Beltran",Camping & Hiking,French
132,2vlCIKESps,Toaster,Toaster by Conway Ltd is a waterproof; compact; eco-friendly product for customers shopping in Makeup.,Reyes Group,Makeup,French
